,Number,title,artist,top genre,year,tempo,energy,danceability,loudness,liveness,valence,duration,acousticness,speechiness,popularity
0,1,Put Your Head On My Shoulder,Paul Anka,adult standards,2000,116,0.34,0.55,-9,0.1,0.47,155000,0.75,0.03,72
1,2,Whatever Will Be Will Be (Que Sera Sera) (with Frank DeVol & His Orchestra) - Single Version,Doris Day,adult standards,1948,177,0.34,0.42,-11,0.72,0.78,123000,0.86,0.04,62
2,3,Everybody Loves Somebody,Dean Martin,adult standards,2013,81,0.49,0.26,-9,0.34,0.4,162000,0.81,0.04,61
3,4,Take Good Care Of My Baby - 1990 Remastered,Bobby Vee,adult standards,2011,82,0.43,0.49,-12,0.12,0.66,151000,0.7,0.06,60
4,5,A Teenager In Love,Dion & The Belmonts,adult standards,1959,79,0.38,0.56,-9,0.13,0.62,158000,0.67,0.03,60
5,6,She's Got You - Single Version,Patsy Cline,adult standards,1962,182,0.14,0.39,-18,0.11,0.57,182000,0.94,0.04,57
6,7,Puppy Love - Remix,Paul Anka,adult standards,2000,102,0.41,0.29,-10,0.27,0.54,164000,0.66,0.03,56
7,8,Travelin' Man - Remastered,Ricky Nelson,adult standards,1991,123,0.36,0.74,-12,0.12,0.86,143000,0.67,0.03,55
8,9,Mr. Blue,The Fleetwoods,adult standards,1993,97,0.09,0.37,-17,0.11,0.21,145000,0.93,0.04,55
9,10,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,adult standards,1961,123,0.43,0.81,-12,0.02,0.96,144000,0.55,0.09,54
10,11,Lonesome Town - 1990 Digital Remaster,Ricky Nelson,adult standards,1990,78,0.1,0.51,-18,0.1,0.3,136000,0.86,0.03,54
11,12,16 Candles,Johnny Maestro,brill building pop,1993,114,0.31,0.6,-11,0.09,0.6,175000,0.73,0.03,53
12,13,If I Give My Heart to You (with The Mellomen) - 78rpm Version,Doris Day,adult standards,1945,77,0.06,0.5,-16,0.1,0.33,169000,0.97,0.05,52
13,14,Sh-Boom - Single Version,The Chords,doo-wop,2007,137,0.47,0.67,-9,0.27,0.91,144000,0.85,0.05,52
14,15,Sh-Boom (Life Could Be A Dream),The Crew Cuts,doo-wop,2006,130,0.27,0.67,-11,0.23,0.56,168000,0.85,0.09,51
15,16,It's All In The Game,Tommy Edwards,deep adult standards,1994,105,0.28,0.38,-14,0.31,0.65,159000,0.04,0.03,49
16,17,You Mean Everything to Me,Neil Sedaka,adult standards,1959,72,0.43,0.37,-8,0.13,0.68,158000,0.52,0.03,48
17,18,April Love,Pat Boone,adult standards,1962,91,0.17,0.39,-15,0.08,0.5,161000,0.83,0.03,48
18,19,Surf City - Remastered 1990/Stereo Remix,Jan & Dean,brill building pop,1990,148,0.65,0.47,-14,0.34,0.94,163000,0.6,0.03,48
19,20,I've Grown Accustomed To Her Face - Remastered/1998,Dean Martin,adult standards,1960,79,0.12,0.57,-16,0.11,0.34,163000,0.79,0.06,47
20,21,Rubber Ball,Bobby Vee,adult standards,1961,143,0.43,0.42,-10,0.18,0.77,144000,0.69,0.04,47
21,22,Chicago - Remastered,Frank Sinatra,adult standards,1958,148,0.46,0.51,-10,0.4,0.79,134000,0.61,0.07,47
22,23,But Not For Me,Ella Fitzgerald,adult standards,1959,80,0.22,0.18,-17,0.1,0.16,214000,0.92,0.04,45
23,24,In The Still Of The Night,The Five Satins,brill building pop,2010,110,0.32,0.44,-10,0.11,0.2,184000,0.88,0.04,44
24,25,Only Because,The Platters,adult standards,1957,73,0.28,0.55,-10,0.09,0.47,174000,0.85,0.03,44
25,26,Che La Luna,Louis Prima,adult standards,1973,127,0.64,0.68,-12,0.21,0.99,152000,0.3,0.06,44
26,27,My Happiness,Connie Francis,adult standards,1996,107,0.31,0.45,-8,0.13,0.28,150000,0.75,0.03,44
27,28,Brown Eyed Handsome Man,Buddy Holly,adult standards,1963,95,0.97,0.59,-7,0.09,0.86,125000,0.04,0.09,43
28,29,Poetry In Motion,Johnny Tillotson,adult standards,2011,135,0.71,0.49,-7,0.1,0.9,154000,0.4,0.03,41
29,30,To The Aisle,The Five Satins,brill building pop,2008,195,0.27,0.32,-10,0.1,0.55,166000,0.91,0.04,41
30,31,Tulips From Amsterdam,Max Bygraves,british comedy,2000,93,0.45,0.56,-7,0.15,0.7,135000,0.49,0.03,41
33,34,Let's Fall in Love,James Darren,adult standards,2014,128,0.29,0.51,-11,0.08,0.58,128000,0.78,0.04,39
